Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross Margin %,Rating
1019-B,C,Chicago,Member,Female,Fashion Accessories,1987.52,9,894.38,18782.06,09/29/2025,10:37:37,E-wallet,17887.68,4.76%,9.1
1020-A,C,Chicago,Member,Female,Health & Beauty,9407.83,5,2351.96,49391.11,02/14/2025,20:30:18,Cash,47039.15,4.76%,5.7
1021-A,A,New York,Normal,Female,Food & Beverages,7153.14,2,715.31,15021.59,10/11/2025,18:55:50,Credit Card,14306.28,4.76%,6.3
1022-C,C,Chicago,Normal,Male,Home & Lifestyle,1551.42,8,620.57,13031.93,02/22/2025,12:45:52,Cash,12411.36,4.76%,5.1
1023-B,A,New York,Member,Female,Home & Lifestyle,1903.91,3,285.59,5997.32,03/29/2025,16:47:59,E-wallet,5711.73,4.76%,5.7
1024-C,B,Austin,Member,Male,Sports & Travel,4774.31,5,1193.58,25065.13,09/26/2025,11:57:52,Credit Card,23871.55,4.76%,7.2
1025-C,C,Chicago,Normal,Female,Home & Lifestyle,6444.19,2,644.42,13532.8,08/28/2025,15:14:22,Cash,12888.38,4.76%,7.3
1026-B,C,Chicago,Member,Male,Electronic Accessories,5803.27,8,2321.31,48747.47,01/26/2025,13:38:48,Credit Card,46426.16,4.76%,7.2
1027-C,C,Chicago,Normal,Female,Fashion Accessories,1824.27,5,456.07,9577.42,09/28/2025,10:06:37,Credit Card,9121.35,4.76%,7.8
1028-C,B,Austin,Member,Male,Health & Beauty,5644.88,6,1693.46,35562.74,04/17/2025,12:04:17,Cash,33869.28,4.76%,5.6
1029-B,C,Chicago,Normal,Female,Home & Lifestyle,4303.32,1,215.17,4518.49,06/20/2025,10:51:32,Credit Card,4303.32,4.76%,5.0
1030-C,A,New York,Normal,Male,Electronic Accessories,7461.83,3,1119.27,23504.76,08/17/2025,15:24:32,E-wallet,22385.49,4.76%,7.0
1031-A,B,Austin,Member,Male,Health & Beauty,3857.02,8,1542.81,32398.97,09/14/2025,18:58:34,E-wallet,30856.16,4.76%,7.3
1032-B,C,Chicago,Member,Male,Electronic Accessories,4568.74,9,2055.93,43174.59,09/30/2025,13:30:48,Cash,41118.66,4.76%,9.4
1033-B,A,New York,Normal,Female,Food & Beverages,8554.67,9,3849.6,80841.63,08/17/2025,13:41:16,Credit Card,76992.03,4.76%,7.7
1034-A,B,Austin,Normal,Female,Electronic Accessories,6541.17,3,981.18,20604.69,04/04/2025,20:00:08,Cash,19623.51,4.76%,7.8
1035-B,C,Chicago,Normal,Female,Food & Beverages,7211.76,2,721.18,15144.7,03/27/2025,9:01:09,Credit Card,14423.52,4.76%,6.9
1036-A,B,Austin,Member,Female,Health & Beauty,6831.29,8,2732.52,57382.84,03/26/2025,16:05:36,Credit Card,54650.32,4.76%,7.7
1037-A,A,New York,Member,Male,Fashion Accessories,4534.01,5,1133.5,23803.55,04/23/2025,9:22:16,E-wallet,22670.05,4.76%,6.5
1038-A,B,Austin,Member,Female,Home & Lifestyle,3524.2,8,1409.68,29603.28,07/16/2025,19:33:27,Credit Card,28193.6,4.76%,6.9
1039-B,A,New York,Normal,Female,Electronic Accessories,1726.09,9,776.74,16311.55,06/13/2025,10:50:10,Credit Card,15534.81,4.76%,6.2
1040-B,C,Chicago,Member,Male,Sports & Travel,4986.41,6,1495.92,31414.38,01/11/2025,16:44:36,E-wallet,29918.46,4.76%,8.2
1041-B,C,Chicago,Normal,Female,Sports & Travel,6420.64,5,1605.16,33708.36,04/09/2025,18:10:29,Credit Card,32103.2,4.76%,8.7
1042-C,C,Chicago,Normal,Male,Health & Beauty,1468.39,10,734.2,15418.1,08/16/2025,20:42:03,E-wallet,14683.9,4.76%,4.9
1043-A,C,Chicago,Member,Female,Home & Lifestyle,8183.54,2,818.35,17185.43,07/23/2025,14:22:10,Cash,16367.08,4.76%,8.0
1044-C,B,Austin,Member,Male,Sports & Travel,1137.49,9,511.87,10749.28,11/30/2025,9:17:42,E-wallet,10237.41,4.76%,8.9
1045-C,B,Austin,Member,Female,Fashion Accessories,8569.36,7,2999.28,62984.8,04/13/2025,19:02:00,Cash,59985.52,4.76%,8.9
1046-C,A,New York,Member,Male,Food & Beverages,1866.43,6,559.93,11758.51,05/04/2025,9:01:46,Cash,11198.58,4.76%,4.8
1047-C,A,New York,Normal,Female,Sports & Travel,9979.78,10,4989.89,104787.69,10/02/2025,20:20:05,E-wallet,99797.8,4.76%,8.0
1048-B,A,New York,Normal,Male,Home & Lifestyle,6677.03,5,1669.26,35054.41,03/10/2025,15:57:34,Credit Card,33385.15,4.76%,8.3
1049-C,C,Chicago,Member,Male,Fashion Accessories,2602.04,10,1301.02,27321.42,04/08/2025,17:04:13,Credit Card,26020.4,4.76%,5.4
1050-A,B,Austin,Member,Male,Sports & Travel,4829.9,3,724.49,15214.19,11/02/2025,15:18:07,Cash,14489.7,4.76%,8.4
1051-A,A,New York,Member,Female,Health & Beauty,2894.17,9,1302.38,27349.91,11/26/2025,19:24:08,Cash,26047.53,4.76%,6.5
1052-B,C,Chicago,Member,Female,Food & Beverages,4751.37,5,1187.84,24944.69,08/12/2025,13:48:51,E-wallet,23756.85,4.76%,6.5
1053-A,B,Austin,Normal,Male,Sports & Travel,7773.89,1,388.69,8162.58,07/14/2025,10:20:29,Credit Card,7773.89,4.76%,8.6
1054-C,C,Chicago,Normal,Female,Home & Lifestyle,1763.15,4,352.63,7405.23,06/27/2025,12:23:30,Credit Card,7052.6,4.76%,4.0
1055-C,B,Austin,Normal,Female,Food & Beverages,9809.1,4,1961.82,41198.22,05/29/2025,16:11:56,E-wallet,39236.4,4.76%,4.5
1056-A,A,New York,Normal,Female,Sports & Travel,6865.97,2,686.6,14418.54,10/27/2025,9:02:24,Credit Card,13731.94,4.76%,9.6
1057-B,B,Austin,Member,Male,Health & Beauty,3428.78,7,1200.07,25201.53,03/14/2025,9:26:11,E-wallet,24001.46,4.76%,5.3
1058-A,A,New York,Normal,Female,Sports & Travel,8949.9,5,2237.48,46986.98,01/03/2025,15:41:05,Credit Card,44749.5,4.76%,7.0
1059-C,A,New York,Member,Female,Sports & Travel,2891.43,5,722.86,15180.01,02/27/2025,12:12:17,Cash,14457.15,4.76%,7.6
1060-A,C,Chicago,Member,Male,Sports & Travel,6808.21,6,2042.46,42891.72,01/24/2025,14:01:09,E-wallet,40849.26,4.76%,5.5
1061-A,A,New York,Member,Female,Food & Beverages,1721.37,9,774.62,16266.95,02/04/2025,20:54:35,Credit Card,15492.33,4.76%,9.1
1062-C,A,New York,Normal,Male,Health & Beauty,2461.44,3,369.22,7753.54,01/06/2025,14:04:53,Credit Card,7384.32,4.76%,4.9
1063-A,C,Chicago,Normal,Female,Sports & Travel,8128.77,7,2845.07,59746.46,03/19/2025,13:05:02,E-wallet,56901.39,4.76%,7.9
1064-C,A,New York,Normal,Male,Electronic Accessories,4065.84,7,1423.04,29883.92,08/16/2025,14:41:19,Cash,28460.88,4.76%,7.7
1065-C,B,Austin,Normal,Male,Home & Lifestyle,4609.32,5,1152.33,24198.93,06/19/2025,18:09:41,E-wallet,23046.6,4.76%,9.7
1066-A,A,New York,Normal,Male,Electronic Accessories,2115.34,9,951.9,19989.96,02/12/2025,15:08:33,E-wallet,19038.06,4.76%,7.5
1067-A,B,Austin,Member,Male,Electronic Accessories,8036.93,9,3616.62,75948.99,03/30/2025,14:22:05,Cash,72332.37,4.76%,6.7
1068-A,B,Austin,Member,Female,Food & Beverages,8289.43,9,3730.24,78335.11,05/22/2025,11:59:14,Credit Card,74604.87,4.76%,8.0
1069-A,C,Chicago,Normal,Male,Home & Lifestyle,3743.19,7,1310.12,27512.45,02/18/2025,12:17:30,Credit Card,26202.33,4.76%,9.4
1070-C,C,Chicago,Member,Female,Home & Lifestyle,1458.52,2,145.85,3062.89,08/07/2025,14:21:26,E-wallet,2917.04,4.76%,9.7
1071-A,C,Chicago,Member,Male,Fashion Accessories,7546.6,5,1886.65,39619.65,08/14/2025,12:54:39,Cash,37733.0,4.76%,7.7
1072-A,C,Chicago,Normal,Female,Electronic Accessories,2654.99,4,531.0,11150.96,10/27/2025,16:16:42,Cash,10619.96,4.76%,5.9
1073-B,B,Austin,Normal,Female,Electronic Accessories,6880.89,4,1376.18,28899.74,08/08/2025,13:23:54,E-wallet,27523.56,4.76%,8.0
1074-C,A,New York,Member,Male,Fashion Accessories,3896.52,3,584.48,12274.04,08/27/2025,20:38:06,E-wallet,11689.56,4.76%,5.3
1075-B,A,New York,Normal,Male,Electronic Accessories,6961.16,10,3480.58,73092.18,10/21/2025,16:48:13,Credit Card,69611.6,4.76%,4.6
1076-B,B,Austin,Normal,Female,Sports & Travel,9257.81,10,4628.91,97207.01,01/30/2025,10:21:12,E-wallet,92578.1,4.76%,5.7
1077-C,B,Austin,Normal,Female,Fashion Accessories,1681.33,2,168.13,3530.79,04/14/2025,14:53:52,Credit Card,3362.66,4.76%,9.0
1078-A,A,New York,Member,Male,Home & Lifestyle,2380.07,4,476.01,9996.29,05/27/2025,15:44:43,E-wallet,9520.28,4.76%,5.6
1079-B,C,Chicago,Member,Female,Health & Beauty,7279.96,4,1455.99,30575.83,10/30/2025,14:02:59,Credit Card,29119.84,4.76%,5.4
1080-A,C,Chicago,Member,Female,Home & Lifestyle,5801.01,1,290.05,6091.06,11/16/2025,11:35:16,Cash,5801.01,4.76%,9.0
1081-C,B,Austin,Normal,Female,Electronic Accessories,6712.99,5,1678.25,35243.2,04/29/2025,19:15:23,Cash,33564.95,4.76%,6.5
1082-C,B,Austin,Member,Male,Home & Lifestyle,8433.34,4,1686.67,35420.03,08/13/2025,12:56:16,Cash,33733.36,4.76%,6.2
1083-C,B,Austin,Normal,Male,Fashion Accessories,6576.47,8,2630.59,55242.35,04/09/2025,10:04:35,E-wallet,52611.76,4.76%,8.2
1084-B,B,Austin,Member,Male,Sports & Travel,6912.19,5,1728.05,36289.0,11/16/2025,18:00:00,Cash,34560.95,4.76%,7.6
1085-B,A,New York,Normal,Female,Food & Beverages,4177.79,10,2088.9,43866.8,06/07/2025,15:06:38,Cash,41777.9,4.76%,7.9
1086-B,A,New York,Normal,Male,Sports & Travel,1986.61,1,99.33,2085.94,10/06/2025,18:55:08,Credit Card,1986.61,4.76%,7.5
1087-A,C,Chicago,Normal,Female,Fashion Accessories,2945.24,3,441.79,9277.51,10/25/2025,13:03:44,E-wallet,8835.72,4.76%,7.0
1088-A,A,New York,Member,Male,Fashion Accessories,5737.49,2,573.75,12048.73,08/25/2025,20:57:32,Credit Card,11474.98,4.76%,4.7
1089-C,C,Chicago,Member,Male,Food & Beverages,4705.95,10,2352.98,49412.48,07/30/2025,20:12:21,E-wallet,47059.5,4.76%,4.4
1090-C,C,Chicago,Member,Male,Electronic Accessories,6636.42,7,2322.75,48777.69,05/21/2025,19:16:58,Credit Card,46454.94,4.76%,9.3
1091-B,C,Chicago,Normal,Female,Sports & Travel,2127.09,1,106.35,2233.44,06/04/2025,10:15:12,Cash,2127.09,4.76%,8.4
1092-B,C,Chicago,Normal,Male,Electronic Accessories,3095.48,3,464.32,9750.76,09/14/2025,17:20:45,Credit Card,9286.44,4.76%,5.2
1093-B,A,New York,Normal,Female,Home & Lifestyle,6091.88,7,2132.16,44775.32,05/14/2025,15:39:51,Cash,42643.16,4.76%,7.0
1094-C,A,New York,Normal,Female,Food & Beverages,8590.39,2,859.04,18039.82,03/09/2025,20:27:32,Credit Card,17180.78,4.76%,5.5
1095-C,B,Austin,Member,Male,Fashion Accessories,4709.74,6,1412.92,29671.36,09/08/2025,20:41:12,E-wallet,28258.44,4.76%,6.1
1096-A,A,New York,Normal,Male,Health & Beauty,2765.89,8,1106.36,23233.48,06/03/2025,12:48:48,E-wallet,22127.12,4.76%,6.9
1097-C,B,Austin,Member,Female,Health & Beauty,7218.44,8,2887.38,60634.9,06/15/2025,17:24:20,Cash,57747.52,4.76%,9.4
1098-B,B,Austin,Normal,Male,Sports & Travel,5730.71,1,286.54,6017.25,02/26/2025,20:40:34,Cash,5730.71,4.76%,7.1
1099-B,A,New York,Member,Female,Electronic Accessories,6102.61,8,2441.04,51261.92,08/24/2025,14:52:01,Cash,48820.88,4.76%,9.5
1100-B,C,Chicago,Member,Female,Home & Lifestyle,2222.79,4,444.56,9335.72,02/21/2025,19:50:35,Credit Card,8891.16,4.76%,9.9
1101-B,A,New York,Normal,Male,Food & Beverages,7807.08,2,780.71,16394.87,11/04/2025,18:45:12,Credit Card,15614.16,4.76%,4.9
1102-A,B,Austin,Normal,Female,Fashion Accessories,3173.87,8,1269.55,26660.51,03/31/2025,20:39:06,E-wallet,25390.96,4.76%,4.8
1103-B,C,Chicago,Member,Male,Home & Lifestyle,9528.97,9,4288.04,90048.77,03/27/2025,10:35:23,Credit Card,85760.73,4.76%,4.8
1104-C,A,New York,Normal,Female,Health & Beauty,5545.15,7,1940.8,40756.85,04/08/2025,19:26:53,E-wallet,38816.05,4.76%,7.1
1105-B,B,Austin,Normal,Male,Electronic Accessories,9356.67,4,1871.33,39298.01,06/14/2025,11:38:52,Cash,37426.68,4.76%,7.9
1106-A,C,Chicago,Member,Female,Fashion Accessories,7437.82,10,3718.91,78097.11,07/01/2025,15:22:15,Cash,74378.2,4.76%,8.7
1107-C,B,Austin,Member,Male,Home & Lifestyle,1646.42,3,246.96,5186.22,08/15/2025,19:03:56,Cash,4939.26,4.76%,7.7
1108-A,A,New York,Member,Female,Home & Lifestyle,7728.05,10,3864.02,81144.52,04/11/2025,20:22:45,Cash,77280.5,4.76%,9.2
1109-B,C,Chicago,Normal,Female,Health & Beauty,4199.81,2,419.98,8819.6,02/06/2025,20:52:25,E-wallet,8399.62,4.76%,6.3
1110-A,B,Austin,Member,Female,Sports & Travel,9016.11,2,901.61,18933.83,04/21/2025,13:48:14,E-wallet,18032.22,4.76%,7.0
1111-C,C,Chicago,Member,Female,Health & Beauty,3701.02,5,925.26,19430.36,11/02/2025,18:57:06,E-wallet,18505.1,4.76%,6.5
1112-B,B,Austin,Normal,Male,Home & Lifestyle,2692.36,5,673.09,14134.89,11/11/2025,14:30:33,Credit Card,13461.8,4.76%,9.8
1113-B,A,New York,Normal,Female,Electronic Accessories,1582.0,1,79.1,1661.1,08/15/2025,19:20:22,E-wallet,1582.0,4.76%,9.7
1114-A,A,New York,Normal,Male,Home & Lifestyle,3490.62,9,1570.78,32986.36,04/17/2025,10:28:25,Credit Card,31415.58,4.76%,4.0
1115-C,A,New York,Member,Female,Sports & Travel,1716.48,5,429.12,9011.52,02/27/2025,11:16:54,Cash,8582.4,4.76%,8.7
1116-B,B,Austin,Normal,Female,Health & Beauty,6325.96,1,316.3,6642.26,01/09/2025,12:05:56,E-wallet,6325.96,4.76%,5.6
1117-A,B,Austin,Member,Male,Electronic Accessories,9406.67,10,4703.34,98770.04,09/17/2025,17:24:36,E-wallet,94066.7,4.76%,4.4
1118-A,A,New York,Normal,Female,Electronic Accessories,1836.01,3,275.4,5783.43,09/07/2025,16:24:18,Cash,5508.03,4.76%,5.5
1119-B,B,Austin,Member,Female,Home & Lifestyle,3291.2,2,329.12,6911.52,05/09/2025,10:12:56,Cash,6582.4,4.76%,7.1
1120-A,A,New York,Member,Male,Food & Beverages,4198.19,4,839.64,17632.4,10/24/2025,15:39:43,Cash,16792.76,4.76%,7.6
1121-B,A,New York,Normal,Female,Food & Beverages,4004.16,7,1401.46,29430.58,02/05/2025,17:36:31,E-wallet,28029.12,4.76%,4.1
1122-B,C,Chicago,Member,Female,Sports & Travel,2331.32,3,349.7,7343.66,03/24/2025,14:46:33,Credit Card,6993.96,4.76%,7.6
1123-A,C,Chicago,Member,Female,Sports & Travel,7715.95,2,771.6,16203.5,08/17/2025,19:14:02,Credit Card,15431.9,4.76%,5.0
1124-C,C,Chicago,Member,Male,Health & Beauty,8470.44,7,2964.65,62257.73,08/24/2025,17:40:15,Credit Card,59293.08,4.76%,8.1
1125-A,A,New York,Member,Female,Sports & Travel,2700.33,2,270.03,5670.69,01/19/2025,18:13:08,Cash,5400.66,4.76%,9.9
1126-C,A,New York,Member,Female,Electronic Accessories,7140.92,10,3570.46,74979.66,07/15/2025,14:26:20,Cash,71409.2,4.76%,9.0
1127-B,A,New York,Member,Female,Sports & Travel,2856.56,9,1285.45,26994.49,07/19/2025,15:02:14,Credit Card,25709.04,4.76%,7.1
1128-A,C,Chicago,Member,Female,Electronic Accessories,8837.92,1,441.9,9279.82,03/17/2025,9:18:13,Cash,8837.92,4.76%,5.5
1129-C,A,New York,Member,Female,Fashion Accessories,7971.95,4,1594.39,33482.19,07/07/2025,10:15:28,Cash,31887.8,4.76%,9.7
1130-C,A,New York,Member,Male,Sports & Travel,2089.3,8,835.72,17550.12,07/01/2025,9:40:21,Credit Card,16714.4,4.76%,6.8
1131-B,B,Austin,Member,Female,Electronic Accessories,4190.89,1,209.54,4400.43,10/18/2025,19:46:15,E-wallet,4190.89,4.76%,10.0
1132-A,A,New York,Member,Female,Electronic Accessories,6701.01,1,335.05,7036.06,07/20/2025,16:02:34,E-wallet,6701.01,4.76%,9.4
1133-B,B,Austin,Normal,Male,Electronic Accessories,5768.97,2,576.9,12114.84,03/09/2025,19:24:34,Credit Card,11537.94,4.76%,4.2
1134-B,B,Austin,Member,Male,Fashion Accessories,6257.38,7,2190.08,45991.74,10/26/2025,20:22:59,Credit Card,43801.66,4.76%,8.6
1135-A,A,New York,Normal,Male,Health & Beauty,9406.34,7,3292.22,69136.6,08/14/2025,14:47:51,Credit Card,65844.38,4.76%,9.9
1136-B,A,New York,Member,Male,Home & Lifestyle,4550.55,4,910.11,19112.31,07/28/2025,16:57:56,E-wallet,18202.2,4.76%,6.1
1137-C,C,Chicago,Member,Male,Health & Beauty,1326.04,6,397.81,8354.05,07/29/2025,13:37:25,E-wallet,7956.24,4.76%,6.4
1138-B,B,Austin,Member,Male,Food & Beverages,9033.75,3,1355.06,28456.31,06/17/2025,14:49:26,Credit Card,27101.25,4.76%,8.6
1139-C,B,Austin,Member,Female,Home & Lifestyle,2553.34,10,1276.67,26810.07,09/29/2025,10:15:58,E-wallet,25533.4,4.76%,6.0
1140-A,A,New York,Normal,Female,Electronic Accessories,6963.82,8,2785.53,58496.09,09/14/2025,9:16:33,E-wallet,55710.56,4.76%,8.0
1141-B,B,Austin,Member,Male,Home & Lifestyle,1084.9,6,325.47,6834.87,03/17/2025,20:46:19,Credit Card,6509.4,4.76%,5.7
1142-A,C,Chicago,Member,Male,Health & Beauty,8630.16,3,1294.52,27185.0,10/21/2025,11:18:47,Credit Card,25890.48,4.76%,8.6
1143-B,B,Austin,Normal,Male,Food & Beverages,4876.8,8,1950.72,40965.12,03/25/2025,13:37:11,Credit Card,39014.4,4.76%,6.0
1144-A,A,New York,Normal,Male,Fashion Accessories,9363.18,1,468.16,9831.34,09/05/2025,12:09:25,Cash,9363.18,4.76%,5.9
1145-C,A,New York,Member,Male,Electronic Accessories,4121.29,3,618.19,12982.06,07/21/2025,19:56:04,Credit Card,12363.87,4.76%,7.7
1146-B,C,Chicago,Member,Male,Health & Beauty,7197.25,7,2519.04,52899.79,07/29/2025,15:58:27,Credit Card,50380.75,4.76%,4.3
1147-A,A,New York,Member,Male,Electronic Accessories,4382.47,4,876.49,18406.37,03/18/2025,11:23:37,Credit Card,17529.88,4.76%,8.8
1148-B,C,Chicago,Normal,Female,Health & Beauty,5345.0,10,2672.5,56122.5,01/19/2025,11:49:39,Cash,53450.0,4.76%,5.4
1149-C,C,Chicago,Normal,Male,Health & Beauty,4299.43,4,859.89,18057.61,08/13/2025,14:15:13,Cash,17197.72,4.76%,7.0
1150-A,C,Chicago,Member,Female,Sports & Travel,8679.88,6,2603.96,54683.24,10/12/2025,10:55:48,E-wallet,52079.28,4.76%,7.6
1151-B,A,New York,Normal,Male,Food & Beverages,6588.12,6,1976.44,41505.16,07/13/2025,15:58:22,Credit Card,39528.72,4.76%,7.3
1152-A,A,New York,Member,Male,Sports & Travel,2878.3,10,1439.15,30222.15,06/08/2025,9:36:24,E-wallet,28783.0,4.76%,7.0
1153-A,B,Austin,Normal,Female,Health & Beauty,5368.44,9,2415.8,50731.76,03/11/2025,18:17:32,Cash,48315.96,4.76%,9.2
1154-C,C,Chicago,Normal,Female,Food & Beverages,7843.27,10,3921.64,82354.34,10/27/2025,9:31:28,Credit Card,78432.7,4.76%,7.1
1155-C,A,New York,Normal,Female,Fashion Accessories,5312.91,4,1062.58,22314.22,07/27/2025,12:14:39,E-wallet,21251.64,4.76%,7.0
1156-A,C,Chicago,Normal,Female,Health & Beauty,1795.07,9,807.78,16963.41,06/03/2025,17:53:40,Credit Card,16155.63,4.76%,4.0
1157-C,C,Chicago,Normal,Male,Fashion Accessories,5090.15,9,2290.57,48101.92,07/31/2025,10:16:05,Cash,45811.35,4.76%,4.4
1158-C,C,Chicago,Normal,Male,Fashion Accessories,4691.16,10,2345.58,49257.18,02/19/2025,17:47:33,Credit Card,46911.6,4.76%,7.2
1159-C,B,Austin,Normal,Male,Health & Beauty,3740.2,2,374.02,7854.42,05/29/2025,9:13:55,Cash,7480.4,4.76%,5.2
1160-C,C,Chicago,Member,Female,Sports & Travel,8837.85,7,3093.25,64958.2,04/06/2025,20:21:46,Credit Card,61864.95,4.76%,5.3
1161-B,C,Chicago,Normal,Female,Food & Beverages,8071.92,2,807.19,16951.03,07/19/2025,19:58:34,E-wallet,16143.84,4.76%,7.2
1162-B,A,New York,Normal,Female,Electronic Accessories,6996.22,1,349.81,7346.03,07/06/2025,16:28:27,Cash,6996.22,4.76%,9.3
1163-A,C,Chicago,Normal,Female,Sports & Travel,9904.47,5,2476.12,51998.47,05/27/2025,9:40:57,Cash,49522.35,4.76%,8.6
1164-C,C,Chicago,Normal,Male,Fashion Accessories,1542.69,6,462.81,9718.95,07/12/2025,15:30:34,Cash,9256.14,4.76%,6.5
1165-B,A,New York,Member,Female,Sports & Travel,4970.29,1,248.51,5218.8,04/22/2025,11:33:04,Cash,4970.29,4.76%,9.0
1166-A,A,New York,Member,Female,Electronic Accessories,6981.05,5,1745.26,36650.51,01/19/2025,15:51:22,Credit Card,34905.25,4.76%,4.9
1167-A,B,Austin,Normal,Male,Electronic Accessories,1205.96,9,542.68,11396.32,05/05/2025,15:11:27,Cash,10853.64,4.76%,5.3
1168-C,B,Austin,Member,Male,Fashion Accessories,4684.32,2,468.43,9837.07,01/12/2025,13:49:51,Credit Card,9368.64,4.76%,6.2
1169-A,A,New York,Member,Male,Fashion Accessories,3845.99,7,1346.1,28268.03,05/01/2025,20:30:13,Credit Card,26921.93,4.76%,4.1
1170-B,C,Chicago,Member,Female,Sports & Travel,3784.97,2,378.5,7948.44,06/22/2025,11:03:39,E-wallet,7569.94,4.76%,9.4
1171-B,B,Austin,Normal,Male,Electronic Accessories,7885.91,7,2760.07,57961.44,11/20/2025,20:36:23,Cash,55201.37,4.76%,6.5
1172-A,C,Chicago,Member,Female,Sports & Travel,2271.39,8,908.56,19079.68,11/21/2025,20:18:40,Cash,18171.12,4.76%,5.9
1173-A,A,New York,Normal,Male,Home & Lifestyle,1256.81,2,125.68,2639.3,06/13/2025,16:45:54,E-wallet,2513.62,4.76%,9.3
1174-A,A,New York,Member,Female,Sports & Travel,5752.91,1,287.65,6040.56,09/04/2025,13:33:08,E-wallet,5752.91,4.76%,4.8
1175-A,B,Austin,Normal,Female,Electronic Accessories,6432.6,4,1286.52,27016.92,05/24/2025,11:35:01,Credit Card,25730.4,4.76%,4.1
1176-B,C,Chicago,Normal,Female,Food & Beverages,5369.91,8,2147.96,45107.24,09/06/2025,16:04:24,Cash,42959.28,4.76%,6.2
1177-C,B,Austin,Member,Female,Home & Lifestyle,1207.83,10,603.92,12682.22,01/13/2025,10:03:33,E-wallet,12078.3,4.76%,7.4
1178-C,C,Chicago,Member,Male,Sports & Travel,3966.2,6,1189.86,24987.06,01/09/2025,17:59:09,Cash,23797.2,4.76%,5.8
1179-A,B,Austin,Normal,Female,Fashion Accessories,6202.97,9,2791.34,58618.07,04/27/2025,19:53:13,E-wallet,55826.73,4.76%,8.4
1180-A,C,Chicago,Normal,Female,Home & Lifestyle,2707.6,7,947.66,19900.86,08/19/2025,18:40:59,E-wallet,18953.2,4.76%,5.9
1181-A,C,Chicago,Normal,Female,Electronic Accessories,5665.3,8,2266.12,47588.52,08/26/2025,19:01:41,E-wallet,45322.4,4.76%,4.1
1182-A,A,New York,Normal,Male,Sports & Travel,7434.83,6,2230.45,46839.43,02/09/2025,14:31:36,Credit Card,44608.98,4.76%,6.2
1183-C,A,New York,Normal,Male,Home & Lifestyle,7944.06,2,794.41,16682.53,02/04/2025,10:26:48,Cash,15888.12,4.76%,8.1
